BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Joost Mees (c)†,c Azeem Nazir b Ashwin Vinod,11,8,-,2,0,137.5,/cricketers/joost-mees-520138,luxembourg vs switzerland
Shiv Gill ,c Aneesh Kumar b Faheem Nazir,23,26,-,5,0,88.46,/cricketers/shiv-gill-1318875,luxembourg vs switzerland
James Barker ,c †Sathya Narayanan b Jai Sinh,19,26,-,2,0,73.07,/cricketers/james-barker-520142,luxembourg vs switzerland
Vikram Vijh ,c Arjun Vinod b Jai Sinh,8,19,-,0,0,42.1,/cricketers/vikram-vijh-1198915,luxembourg vs switzerland
Atif Kamal ,c Ali Nayyer b Jai Sinh,12,7,-,1,1,171.42,/cricketers/atif-kamal-1198919,luxembourg vs switzerland
Anoop Orsu ,not out ,18,19,-,1,1,94.73,/cricketers/anoop-orsu-1319478,luxembourg vs switzerland
Osama Mahmood , b Kushretha,0,1,-,0,0,0,/cricketers/osama-mahmood-1284226,luxembourg vs switzerland
Noorkhan Ahmedi , b Kushretha,20,11,-,2,1,181.81,/cricketers/noorkhan-ahmedi-1284217,luxembourg vs switzerland
Jai Sinh , b Malav,6,11,-,0,0,54.54,/cricketers/jai-sinh-1325909,luxembourg vs switzerland
Faheem Nazir (c),c J Barker b Malav,8,4,-,2,0,200,/cricketers/faheem-nazir-1319340,luxembourg vs switzerland
Arjun Vinod ,lbw b Gill,2,4,-,0,0,50,/cricketers/arjun-vinod-469193,luxembourg vs switzerland
Azeem Nazir ,c Dhingra b Malav,36,40,-,5,0,90,/cricketers/azeem-nazir-1325912,luxembourg vs switzerland
Ali Nayyer ,c Atif Kamal b Vijh,28,33,-,0,1,84.84,/cricketers/ali-nayyer-469203,luxembourg vs switzerland
Sathya Narayanan †,run out (J Barker/†Mees),0,2,-,0,0,0,/cricketers/sathya-narayanan-1325911,luxembourg vs switzerland
Aneesh Kumar ,not out ,7,9,-,0,0,77.77,/cricketers/aneesh-kumar-1284220,luxembourg vs switzerland
Jose Bulele ,c Eric Phiri b Magagula,24,31,-,4,0,77.41,/cricketers/jose-bulele-1155498,eswatini vs mozambique
Lourenço Simango ,c Rashid b Malinga,18,19,-,3,0,94.73,/cricketers/louren-o-simango-1155510,eswatini vs mozambique
Joao Hou ,st †Musa Twala b Malinga,24,13,-,3,1,184.61,/cricketers/joao-hou-1155503,eswatini vs mozambique
Filipe Cossa (c),c Rashid b Malinga,0,1,-,0,0,0,/cricketers/filipe-cossa-1163158,eswatini vs mozambique
Gomes Gomes ,c Tahir Patel b Jele,37,30,-,2,1,123.33,/cricketers/gomes-gomes-1155500,eswatini vs mozambique
Francisco Couana ,hit wicket b Malinga,12,9,-,3,0,133.33,/cricketers/francisco-couana-585615,eswatini vs mozambique
Hamilton Nyakatawa ,c Navicha b Cossa,13,24,-,2,0,54.16,/cricketers/hamilton-nyakatawa-1326792,eswatini vs mozambique
Loyiso Dlamini , b Huo,14,12,-,2,0,116.66,/cricketers/loyiso-dlamini-1326795,eswatini vs mozambique
Eric Phiri , b Cossa,8,6,-,2,0,133.33,/cricketers/eric-phiri-1326793,eswatini vs mozambique
Haris Rashid , b Simango,7,8,-,1,0,87.5,/cricketers/haris-rashid-346529,eswatini vs mozambique
Tahir Patel ,st †Tembo b Bulele,15,16,-,3,0,93.75,/cricketers/tahir-patel-1326794,eswatini vs mozambique
Mancoba Jele ,c Huo b Bulele,16,19,-,0,1,84.21,/cricketers/mancoba-jele-1283102,eswatini vs mozambique
Melusi Magagula (c),not out ,21,16,-,2,0,131.25,/cricketers/melusi-magagula-1163164,eswatini vs mozambique
Delisa Malinga , b Bulele,3,4,-,0,0,75,/cricketers/delisa-malinga-515929,eswatini vs mozambique
Wandile Dlamini ,lbw b Dima,2,5,-,0,0,40,/cricketers/wandile-dlamini-1326797,eswatini vs mozambique
Regis Chakabva †,c †Nurul Hasan b Mosaddek Hossain,0,1,-,0,0,0,/cricketers/regis-chakabva-293831,zimbabwe vs bangladesh
Craig Ervine (c),c Liton Das b Mosaddek Hossain,1,4,-,0,0,25,/cricketers/craig-ervine-55412,zimbabwe vs bangladesh
Wessly Madhevere ,c Mahedi Hasan b Mosaddek Hossain,4,5,-,1,0,80,/cricketers/wessly-madhevere-938959,zimbabwe vs bangladesh
Sikandar Raza ,c Munim Shahriar b Mustafizur Rahman,62,53,-,4,2,116.98,/cricketers/sikandar-raza-299572,zimbabwe vs bangladesh
Sean Williams ,c & b Mosaddek Hossain,8,7,-,2,0,114.28,/cricketers/sean-williams-55870,zimbabwe vs bangladesh
Milton Shumba ,c Hasan Mahmud b Mosaddek Hossain,3,8,-,0,0,37.5,/cricketers/milton-shumba-951781,zimbabwe vs bangladesh
Ryan Burl , b Hasan Mahmud,32,31,-,3,0,103.22,/cricketers/ryan-burl-495964,zimbabwe vs bangladesh
Luke Jongwe ,not out ,11,5,-,0,1,220,/cricketers/luke-jongwe-541224,zimbabwe vs bangladesh
Litton Das ,lbw b Williams,56,33,-,6,2,169.69,/cricketers/litton-das-536936,zimbabwe vs bangladesh
Munim Shahriar , b Ngarava,7,8,-,1,0,87.5,/cricketers/munim-shahriar-549950,zimbabwe vs bangladesh
Anamul Haque ,c Masakadza b Sikandar Raza,16,15,-,2,0,106.66,/cricketers/anamul-haque-380354,zimbabwe vs bangladesh
Hristo Lakov ,c Ritik Tomar b Lal,8,9,-,1,0,88.88,/cricketers/hristo-lakov-1203898,bulgaria vs czech
Mukul Kadyan ,st †Thenannahelage b Lal,10,11,-,1,0,90.9,/cricketers/mukul-kadyan-1275726,bulgaria vs czech
Saim Hussain †, b Wickramasekara,39,42,-,3,1,92.85,/cricketers/saim-hussain-1284209,bulgaria vs czech
Sulaiman Ali ,run out (Wickramasekara/†Thenannahelage),12,17,-,0,1,70.58,/cricketers/sulaiman-ali-1233050,bulgaria vs czech
Prakash Mishra (c), b Sazib Bhuiyan,1,5,-,0,0,20,/cricketers/prakash-mishra-514770,bulgaria vs czech
Kevin D'Souza ,c Divyendra Singh b Wickramasekara,27,16,-,0,2,168.75,/cricketers/kevin-d-souza-1233051,bulgaria vs czech
Rohit Dhiman ,c Dylan Steyn b Wickramasekara,5,5,-,0,0,100,/cricketers/rohit-dhiman-1325899,bulgaria vs czech
Asad Ali Rehemtulla , b Wickramasekara,0,4,-,0,0,0,/cricketers/asad-ali-rehemtulla-1236058,bulgaria vs czech
Jacob Albin , b Wickramasekara,2,4,-,0,0,50,/cricketers/jacob-albin-1267508,bulgaria vs czech
Sabawoon Davizi ,c Lakov b Asad Ali Rehemtulla,7,13,-,1,0,53.84,/cricketers/sabawoon-davizi-1198883,bulgaria vs czech
