BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Graeme Smith (c),c & b Astle,61,43,39,10,1,141.86,/cricketers/graeme-smith-47270,south-africa vs new-zealand
Jacques Kallis , b Patel,20,18,43,1,1,111.11,/cricketers/jacques-kallis-45789,south-africa vs new-zealand
Herschelle Gibbs ,lbw b Patel,9,7,10,1,0,128.57,/cricketers/herschelle-gibbs-45224,south-africa vs new-zealand
Justin Kemp ,c & b Astle,8,11,11,1,0,72.72,/cricketers/justin-kemp-45797,south-africa vs new-zealand
Mark Boucher †, b Astle,4,8,14,0,0,50,/cricketers/mark-boucher-44111,south-africa vs new-zealand
Shaun Pollock ,c Fleming b Adams,0,2,3,0,0,0,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Ashwell Prince ,run out (Patel),5,6,13,0,0,83.33,/cricketers/ashwell-prince-46788,south-africa vs new-zealand
Albie Morkel ,c †McCullum b Patel,11,12,16,0,1,91.66,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Charl Langeveldt , b Bond,2,4,5,0,0,50,/cricketers/charl-langeveldt-45963,south-africa vs new-zealand
Stephen Fleming (c),c Morkel b Langeveldt,31,25,30,6,0,124,/cricketers/stephen-fleming-37000,south-africa vs new-zealand
Nathan Astle , b Nel,10,10,23,1,0,100,/cricketers/nathan-astle-36185,south-africa vs new-zealand
Hamish Marshall ,c †Boucher b Nel,3,3,4,0,0,100,/cricketers/hamish-marshall-37696,south-africa vs new-zealand
Craig McMillan ,c Nel b Boje,15,19,26,1,0,78.94,/cricketers/craig-mcmillan-37712,south-africa vs new-zealand
Scott Styris , b Langeveldt,24,28,39,2,0,85.71,/cricketers/scott-styris-38407,south-africa vs new-zealand
Marcus Trescothick ,c Hussey b Symonds,41,37,55,5,0,110.81,/cricketers/marcus-trescothick-21585,england vs australia
Geraint Jones †,c Kasprowicz b McGrath,19,14,17,4,0,135.71,/cricketers/geraint-jones-15501,england vs australia
Andrew Flintoff ,c Symonds b Kasprowicz,6,5,9,0,0,120,/cricketers/andrew-flintoff-12856,england vs australia
Kevin Pietersen ,c Hayden b Clarke,34,18,19,3,1,188.88,/cricketers/kevin-pietersen-19296,england vs australia
Michael Vaughan (c),c Ponting b Symonds,0,1,2,0,0,0,/cricketers/michael-vaughan-22182,england vs australia
Paul Collingwood ,c Ponting b McGrath,46,26,28,5,2,176.92,/cricketers/paul-collingwood-10772,england vs australia
Andrew Strauss , b Gillespie,18,16,15,1,0,112.5,/cricketers/andrew-strauss-20387,england vs australia
Adam Gilchrist †,c Pietersen b Gough,15,14,11,3,0,107.14,/cricketers/adam-gilchrist-5390,england vs australia
Matthew Hayden ,c Pietersen b Gough,6,4,12,1,0,150,/cricketers/matthew-hayden-5616,england vs australia
Andrew Symonds ,c Pietersen b Lewis,0,2,5,0,0,0,/cricketers/andrew-symonds-7702,england vs australia
Michael Clarke ,c †Jones b Lewis,0,1,1,0,0,0,/cricketers/michael-clarke-4578,england vs australia
Michael Hussey ,c Flintoff b Gough,1,6,6,0,0,16.66,/cricketers/michael-hussey-5939,england vs australia
Ricky Ponting (c),c Solanki b Lewis,0,3,6,0,0,0,/cricketers/ricky-ponting-7133,england vs australia
Damien Martyn ,c Trescothick b Lewis,4,4,6,1,0,100,/cricketers/damien-martyn-6513,england vs australia
Brett Lee ,c Harmison b Collingwood,15,20,29,1,0,75,/cricketers/brett-lee-6278,england vs australia
Jason Gillespie ,c Trescothick b Collingwood,24,18,18,4,0,133.33,/cricketers/jason-gillespie-5392,england vs australia
Adam Gilchrist †,c McMillan b Mills,1,3,7,0,0,33.33,/cricketers/adam-gilchrist-5390,new-zealand vs australia
Michael Clarke ,c McMillan b Tuffey,7,4,4,0,1,175,/cricketers/michael-clarke-4578,new-zealand vs australia
Andrew Symonds ,c †McCullum b Mills,32,13,12,4,2,246.15,/cricketers/andrew-symonds-7702,new-zealand vs australia
Ricky Ponting (c),not out ,98,55,62,8,5,178.18,/cricketers/ricky-ponting-7133,new-zealand vs australia
Damien Martyn , b Mills,3,5,4,0,0,60,/cricketers/damien-martyn-6513,new-zealand vs australia
Brendon McCullum †,c Ponting b Kasprowicz,36,24,29,5,1,150,/cricketers/brendon-mccullum-37737,new-zealand vs australia
Stephen Fleming (c), b Kasprowicz,18,13,19,3,0,138.46,/cricketers/stephen-fleming-37000,new-zealand vs australia
Mathew Sinclair ,c Katich b Kasprowicz,0,1,1,0,0,0,/cricketers/mathew-sinclair-38393,new-zealand vs australia
Scott Styris , b Lee,66,39,46,5,3,169.23,/cricketers/scott-styris-38407,new-zealand vs australia
Craig McMillan ,c Hussey b Hopes,9,8,10,0,1,112.5,/cricketers/craig-mcmillan-37712,new-zealand vs australia
Chris Cairns ,c McGrath b Kasprowicz,1,4,2,0,0,25,/cricketers/chris-cairns-36597,new-zealand vs australia
Hamish Marshall , b Symonds,8,7,5,0,0,114.28,/cricketers/hamish-marshall-37696,new-zealand vs australia
Andre Adams ,run out (McGrath),7,7,4,1,0,100,/cricketers/andre-adams-36192,new-zealand vs australia
Jeff Wilson , b McGrath,18,14,12,2,0,128.57,/cricketers/jeff-wilson-38751,new-zealand vs australia
Upul Tharanga , b Franklin,0,3,1,0,0,0,/cricketers/upul-tharanga-50747,new-zealand vs sri-lanka
Chamara Kapugedera ,c Franklin b Mason,12,12,18,1,1,100,/cricketers/chamara-kapugedera-209457,new-zealand vs sri-lanka
Mahela Jayawardene (c),c Patel b Franklin,9,7,13,1,0,128.57,/cricketers/mahela-jayawardene-49289,new-zealand vs sri-lanka
Kumar Sangakkara †,c †McGlashan b Adams,13,17,23,2,0,76.47,/cricketers/kumar-sangakkara-50710,new-zealand vs sri-lanka
Marvan Atapattu ,c Fulton b Franklin,5,8,11,0,0,62.5,/cricketers/marvan-atapattu-48124,new-zealand vs sri-lanka
Tillakaratne Dilshan ,run out (Fulton/†McGlashan),3,10,15,0,0,30,/cricketers/tillakaratne-dilshan-48472,new-zealand vs sri-lanka
Chamara Silva ,c †McGlashan b Adams,12,19,23,0,0,63.15,/cricketers/chamara-silva-50431,new-zealand vs sri-lanka
Malinga Bandara ,c Taylor b Gillespie,1,2,4,0,0,50,/cricketers/malinga-bandara-48284,new-zealand vs sri-lanka
Lasith Malinga , b Patel,27,19,25,2,2,142.1,/cricketers/lasith-malinga-49758,new-zealand vs sri-lanka
Brendon McCullum ,run out (Kapugedera/†Sangakkara),28,28,40,6,0,100,/cricketers/brendon-mccullum-37737,new-zealand vs sri-lanka
Stephen Fleming (c),c Kapugedera b Fernando,17,16,27,4,0,106.25,/cricketers/stephen-fleming-37000,new-zealand vs sri-lanka
Ross Taylor ,run out (Bandara/Dilshan),4,7,9,0,0,57.14,/cricketers/ross-taylor-38699,new-zealand vs sri-lanka
Nathan Astle ,not out ,40,37,42,4,1,108.1,/cricketers/nathan-astle-36185,new-zealand vs sri-lanka
Peter Fulton , b Fernando,14,13,13,1,1,107.69,/cricketers/peter-fulton-37091,new-zealand vs sri-lanka
Brendon McCullum ,c Tharanga b Muralidaran,39,22,33,2,4,177.27,/cricketers/brendon-mccullum-37737,new-zealand vs sri-lanka
Stephen Fleming (c), b Maharoof,38,24,29,6,0,158.33,/cricketers/stephen-fleming-37000,new-zealand vs sri-lanka
James Franklin ,lbw b Jayasuriya,18,15,17,2,1,120,/cricketers/james-franklin-37004,new-zealand vs sri-lanka
Ross Taylor ,lbw b Muralidaran,21,21,25,2,0,100,/cricketers/ross-taylor-38699,new-zealand vs sri-lanka
Nathan Astle , b Jayasuriya,19,13,21,1,1,146.15,/cricketers/nathan-astle-36185,new-zealand vs sri-lanka
James Marshall ,c Silva b Jayasuriya,1,4,3,0,0,25,/cricketers/james-marshall-37698,new-zealand vs sri-lanka
Peter McGlashan †,st †Sangakkara b Silva,5,12,11,0,0,41.66,/cricketers/peter-mcglashan-37770,new-zealand vs sri-lanka
Andre Adams ,not out ,6,5,9,0,0,120,/cricketers/andre-adams-36192,new-zealand vs sri-lanka
Upul Tharanga ,c Fleming b Bond,6,10,15,0,0,60,/cricketers/upul-tharanga-50747,new-zealand vs sri-lanka
Graeme Smith (c),lbw b Khan,16,21,30,3,0,76.19,/cricketers/graeme-smith-47270,south-africa vs india
Loots Bosman ,c Tendulkar b Khan,1,7,12,0,0,14.28,/cricketers/loots-bosman-44098,south-africa vs india
Herschelle Gibbs ,c Raina b Agarkar,7,7,10,1,0,100,/cricketers/herschelle-gibbs-45224,south-africa vs india
Justin Kemp ,lbw b Tendulkar,22,25,28,3,0,88,/cricketers/justin-kemp-45797,south-africa vs india
AB de Villiers †,c †Dhoni b Agarkar,6,4,4,0,1,150,/cricketers/ab-de-villiers-44936,south-africa vs india
Albie Morkel ,c Mongia b Sreesanth,27,18,32,1,3,150,/cricketers/albie-morkel-46248,south-africa vs india
Johan van der Wath ,c Raina b Harbhajan Singh,21,21,21,1,0,100,/cricketers/johan-van-der-wath-47693,south-africa vs india
Robin Peterson ,run out (Karthik/Harbhajan Singh),8,12,14,0,0,66.66,/cricketers/robin-peterson-46750,south-africa vs india
Tyron Henderson ,run out (†Dhoni/Raina),0,2,4,0,0,0,/cricketers/tyron-henderson-45434,south-africa vs india
Virender Sehwag (c),run out (Langeveldt/sub [AG Prince]),34,29,45,5,1,117.24,/cricketers/virender-sehwag-35263,south-africa vs india
Sachin Tendulkar , b Langeveldt,10,12,18,2,0,83.33,/cricketers/sachin-tendulkar-35320,south-africa vs india
Dinesh Mongia ,c Langeveldt b Peterson,38,45,63,4,1,84.44,/cricketers/dinesh-mongia-31034,south-africa vs india
MS Dhoni †, b Langeveldt,0,2,8,0,0,0,/cricketers/ms-dhoni-28081,south-africa vs india
Nazmus Sadat ,c Chigumbura b Brent,4,3,3,0,0,133.33,/cricketers/nazmus-sadat-56061,bangladesh vs zimbabwe
Shahriar Nafees (c), b Chigumbura,25,17,26,3,1,147.05,/cricketers/shahriar-nafees-56153,bangladesh vs zimbabwe
Aftab Ahmed ,c & b Utseya,28,19,28,4,1,147.36,/cricketers/aftab-ahmed-56266,bangladesh vs zimbabwe
Shakib Al Hasan ,c Masakadza b Dabengwa,26,28,32,2,0,92.85,/cricketers/shakib-al-hasan-56143,bangladesh vs zimbabwe
Nadif Chowdhury ,c Brent b Utseya,10,7,7,1,0,142.85,/cricketers/nadif-chowdhury-56053,bangladesh vs zimbabwe
Farhad Reza ,c Brent b Utseya,7,5,4,1,0,140,/cricketers/farhad-reza-55894,bangladesh vs zimbabwe
Mushfiqur Rahim †,c Dabengwa b Williams,2,5,3,0,0,40,/cricketers/mushfiqur-rahim-56029,bangladesh vs zimbabwe
Mashrafe Mortaza , b Chibhabha,36,26,31,2,2,138.46,/cricketers/mashrafe-mortaza-56007,bangladesh vs zimbabwe
Mohammad Rafique ,c Chibhabha b Brent,13,5,11,3,0,260,/cricketers/mohammad-rafique-55973,bangladesh vs zimbabwe
Brendan Taylor †, b Mashrafe Mortaza,5,4,12,1,0,125,/cricketers/brendan-taylor-55814,bangladesh vs zimbabwe
Stuart Matsikenyeri ,c Shahriar Nafees b Shahadat Hossain,15,13,12,3,0,115.38,/cricketers/stuart-matsikenyeri-55612,bangladesh vs zimbabwe
Elton Chigumbura , b Shahadat Hossain,4,6,6,1,0,66.66,/cricketers/elton-chigumbura-55343,bangladesh vs zimbabwe
Hamilton Masakadza , b Abdur Razzak,35,24,35,4,1,145.83,/cricketers/hamilton-masakadza-55608,bangladesh vs zimbabwe
Sean Williams ,c Farhad Reza b Shakib Al Hasan,38,39,42,2,2,97.43,/cricketers/sean-williams-55870,bangladesh vs zimbabwe
Keith Dabengwa , b Abdur Razzak,7,13,13,0,0,53.84,/cricketers/keith-dabengwa-55388,bangladesh vs zimbabwe
Mluleki Nkala ,st †Mushfiqur Rahim b Mohammad Rafique,1,3,5,0,0,33.33,/cricketers/mluleki-nkala-55663,bangladesh vs zimbabwe
Gary Brent , b Abdur Razzak,2,5,6,0,0,40,/cricketers/gary-brent-55269,bangladesh vs zimbabwe
Prosper Utseya (c),not out ,7,8,11,0,0,87.5,/cricketers/prosper-utseya-55820,bangladesh vs zimbabwe
Marcus Trescothick ,c †Kamran Akmal b Abdul Razzaq,53,36,56,9,0,147.22,/cricketers/marcus-trescothick-21585,england vs pakistan
Ian Bell ,c Younis Khan b Shoaib Akhtar,14,17,21,2,0,82.35,/cricketers/ian-bell-9062,england vs pakistan
Kevin Pietersen , b Mohammad Asif,0,1,1,0,0,0,/cricketers/kevin-pietersen-19296,england vs pakistan
Andrew Strauss (c),c †Kamran Akmal b Mohammad Asif,0,2,2,0,0,0,/cricketers/andrew-strauss-20387,england vs pakistan
Paul Collingwood ,c †Kamran Akmal b Naved-ul-Hasan,2,11,10,0,0,18.18,/cricketers/paul-collingwood-10772,england vs pakistan
Jamie Dalrymple ,c Shoaib Akhtar b Abdul Razzaq,27,28,29,2,0,96.42,/cricketers/jamie-dalrymple-11974,england vs pakistan
Michael Yardy ,not out ,24,14,21,2,1,171.42,/cricketers/michael-yardy-23523,england vs pakistan
Shoaib Malik ,lbw b Broad,16,16,15,2,0,100,/cricketers/shoaib-malik-42657,england vs pakistan
Mohammad Hafeez ,run out (Collingwood),46,40,70,5,0,115,/cricketers/mohammad-hafeez-41434,england vs pakistan
Younis Khan ,c †Read b Broad,0,1,2,0,0,0,/cricketers/younis-khan-43652,england vs pakistan
Shahid Afridi ,c Yardy b Dalrymple,28,10,14,5,1,280,/cricketers/shahid-afridi-42639,england vs pakistan
Mohammad Yousuf ,c Bell b Yardy,20,19,17,2,1,105.26,/cricketers/mohammad-yousuf-43650,england vs pakistan
Sanath Jayasuriya ,lbw b Collingwood,41,30,56,4,2,136.66,/cricketers/sanath-jayasuriya-49209,england vs sri-lanka
Upul Tharanga , b Collingwood,34,25,46,4,1,136,/cricketers/upul-tharanga-50747,england vs sri-lanka
Mahela Jayawardene (c),run out (sub [IR Bell]/Dalrymple),0,1,2,0,0,0,/cricketers/mahela-jayawardene-49289,england vs sri-lanka
Tillakaratne Dilshan ,c †Jones b Dalrymple,2,5,6,0,0,40,/cricketers/tillakaratne-dilshan-48472,england vs sri-lanka
Kumar Sangakkara †,c Strauss b Collingwood,21,14,15,3,0,150,/cricketers/kumar-sangakkara-50710,england vs sri-lanka
Russel Arnold , b Collingwood,7,7,5,0,0,100,/cricketers/russel-arnold-48122,england vs sri-lanka
Chamara Kapugedera ,c Pietersen b Mahmood,22,16,28,0,1,137.5,/cricketers/chamara-kapugedera-209457,england vs sri-lanka
Farveez Maharoof ,run out (sub [IR Bell]),8,8,8,0,0,100,/cricketers/farveez-maharoof-49638,england vs sri-lanka
Lasith Malinga ,c sub (IR Bell) b Plunkett,13,12,15,1,0,108.33,/cricketers/lasith-malinga-49758,england vs sri-lanka
Marcus Trescothick ,run out (†Sangakkara),72,58,78,9,1,124.13,/cricketers/marcus-trescothick-21585,england vs sri-lanka
Andrew Strauss (c), b Fernando,33,21,33,6,0,157.14,/cricketers/andrew-strauss-20387,england vs sri-lanka
Kevin Pietersen ,c Malinga b Jayasuriya,17,16,18,1,0,106.25,/cricketers/kevin-pietersen-19296,england vs sri-lanka
Paul Collingwood ,c Jayawardene b Dilshan,5,7,8,0,0,71.42,/cricketers/paul-collingwood-10772,england vs sri-lanka
Jamie Dalrymple ,c †Sangakkara b Jayasuriya,1,2,1,0,0,50,/cricketers/jamie-dalrymple-11974,england vs sri-lanka
Graeme Smith (c),not out ,89,58,89,11,1,153.44,/cricketers/graeme-smith-47270,south-africa vs australia
Loots Bosman , b Lewis,23,18,26,3,1,127.77,/cricketers/loots-bosman-44098,south-africa vs australia
Herschelle Gibbs ,lbw b Lewis,56,34,46,4,4,164.7,/cricketers/herschelle-gibbs-45224,south-africa vs australia
Shaun Pollock ,c Clark b Watson,2,3,4,0,0,66.66,/cricketers/shaun-pollock-46774,south-africa vs australia
Adam Gilchrist †,lbw b Hall,1,2,6,0,0,50,/cricketers/adam-gilchrist-5390,south-africa vs australia
Simon Katich ,c Smith b Telemachus,39,22,42,6,1,177.27,/cricketers/simon-katich-6128,south-africa vs australia
Ricky Ponting (c),lbw b Hall,6,8,11,1,0,75,/cricketers/ricky-ponting-7133,south-africa vs australia
Damien Martyn ,c †de Villiers b van der Wath,17,9,11,3,0,188.88,/cricketers/damien-martyn-6513,south-africa vs australia
Michael Clarke ,st †de Villiers b Peterson,37,24,33,0,3,154.16,/cricketers/michael-clarke-4578,south-africa vs australia
Shane Watson , b Peterson,4,6,9,0,0,66.66,/cricketers/shane-watson-8180,south-africa vs australia
Brad Hogg ,c Smith b Hall,41,25,35,2,3,164,/cricketers/brad-hogg-5681,south-africa vs australia
Chris Gayle ,c Astle b Bond,10,12,14,2,0,83.33,/cricketers/chris-gayle-51880,new-zealand vs west-indies
Daren Ganga ,c Franklin b Styris,26,31,39,3,1,83.87,/cricketers/daren-ganga-51872,new-zealand vs west-indies
Runako Morton ,lbw b Styris,4,9,14,0,0,44.44,/cricketers/runako-morton-52445,new-zealand vs west-indies
Dwayne Smith ,run out (Cairns),8,4,4,1,0,200,/cricketers/dwayne-smith-53118,new-zealand vs west-indies
Wavell Hinds ,run out (Marshall/Patel),14,18,21,1,0,77.77,/cricketers/wavell-hinds-52057,new-zealand vs west-indies
Shivnarine Chanderpaul (c),c Marshall b Patel,26,27,33,2,0,96.29,/cricketers/shivnarine-chanderpaul-51469,new-zealand vs west-indies
Dwayne Bravo ,not out ,19,16,25,2,0,118.75,/cricketers/dwayne-bravo-51439,new-zealand vs west-indies
Lou Vincent , b Smith,42,37,57,5,1,113.51,/cricketers/lou-vincent-38714,new-zealand vs west-indies
Stephen Fleming (c),c Butler b Taylor,6,7,9,1,0,85.71,/cricketers/stephen-fleming-37000,new-zealand vs west-indies
Nathan Astle ,c Chanderpaul b Taylor,5,7,16,1,0,71.42,/cricketers/nathan-astle-36185,new-zealand vs west-indies
Scott Styris , b Bravo,19,16,15,2,1,118.75,/cricketers/scott-styris-38407,new-zealand vs west-indies
Chris Cairns , b Bravo,2,9,7,0,0,22.22,/cricketers/chris-cairns-36597,new-zealand vs west-indies
Peter Fulton , b Gayle,16,17,25,0,0,94.11,/cricketers/peter-fulton-37091,new-zealand vs west-indies
Hamish Marshall ,c Bradshaw b Gayle,1,4,4,0,0,25,/cricketers/hamish-marshall-37696,new-zealand vs west-indies
Brendon McCullum †, b Smith,4,10,8,0,0,40,/cricketers/brendon-mccullum-37737,new-zealand vs west-indies
James Hopes ,c Kallis b Pollock,17,20,25,2,0,85,/cricketers/james-hopes-5702,australia vs south-africa
Damien Martyn ,c Gibbs b Zondeki,96,56,79,7,5,171.42,/cricketers/damien-martyn-6513,australia vs south-africa
Ricky Ponting (c),c Pollock b Botha,27,18,22,2,2,150,/cricketers/ricky-ponting-7133,australia vs south-africa
Graeme Smith (c), b Hopes,22,26,32,3,0,84.61,/cricketers/graeme-smith-47270,australia vs south-africa
Boeta Dippenaar ,c †Haddin b Bracken,1,5,7,0,0,20,/cricketers/boeta-dippenaar-44708,australia vs south-africa
Herschelle Gibbs ,c Clark b Bracken,0,2,1,0,0,0,/cricketers/herschelle-gibbs-45224,australia vs south-africa
Mark Boucher †,c †Haddin b Clark,29,21,30,5,0,138.09,/cricketers/mark-boucher-44111,australia vs south-africa
Shaun Pollock ,c Lewis b Symonds,24,17,21,2,1,141.17,/cricketers/shaun-pollock-46774,australia vs south-africa
Jacques Kallis ,run out (Ponting),15,13,12,1,1,115.38,/cricketers/jacques-kallis-45789,australia vs south-africa
Jacques Rudolph ,not out ,6,7,19,0,0,85.71,/cricketers/jacques-rudolph-47015,australia vs south-africa
Andrew Hall ,c Hussey b Hopes,11,10,6,1,0,110,/cricketers/andrew-hall-45396,australia vs south-africa
Johan Botha ,c Katich b Symonds,2,4,3,0,0,50,/cricketers/johan-botha-44149,australia vs south-africa
Morne van Wyk ,lbw b Taylor,1,4,4,0,0,25,/cricketers/morne-van-wyk-47711,south-africa vs west-indies
Herschelle Gibbs ,c Chanderpaul b Powell,0,4,11,0,0,0,/cricketers/herschelle-gibbs-45224,south-africa vs west-indies
Jean-Paul Duminy , b Taylor,0,1,1,0,0,0,/cricketers/jean-paul-duminy-44932,south-africa vs west-indies
AB de Villiers †, b Taylor,0,4,3,0,0,0,/cricketers/ab-de-villiers-44936,south-africa vs west-indies
Gulam Bodi , b Sammy,8,25,44,0,0,32,/cricketers/gulam-bodi-44089,south-africa vs west-indies
Shaun Pollock (c),run out (Morton),2,5,7,0,0,40,/cricketers/shaun-pollock-46774,south-africa vs west-indies
Albie Morkel ,run out (Bravo),1,4,7,0,0,25,/cricketers/albie-morkel-46248,south-africa vs west-indies
Vernon Philander ,lbw b Edwards,4,9,11,0,0,44.44,/cricketers/vernon-philander-46945,south-africa vs west-indies
Brenton Parchment ,c Duminy b Pollock,10,6,4,1,1,166.66,/cricketers/brenton-parchment-52687,south-africa vs west-indies
Devon Smith , b Steyn,7,7,14,1,0,100,/cricketers/devon-smith-52962,south-africa vs west-indies
Runako Morton , b Steyn,20,14,18,3,1,142.85,/cricketers/runako-morton-52445,south-africa vs west-indies
Shivnarine Chanderpaul ,not out ,8,16,29,0,0,50,/cricketers/shivnarine-chanderpaul-51469,south-africa vs west-indies
Marlon Samuels , b Steyn,1,3,3,0,0,33.33,/cricketers/marlon-samuels-52983,south-africa vs west-indies
Adam Gilchrist †,c Patel b Gillespie,1,5,2,0,0,20,/cricketers/adam-gilchrist-5390,australia vs new-zealand
Michael Clarke (c),c Taylor b Vettori,33,26,43,3,1,126.92,/cricketers/michael-clarke-4578,australia vs new-zealand
Michael Hussey ,st †McCullum b Patel,22,16,22,4,0,137.5,/cricketers/michael-hussey-5939,australia vs new-zealand
Andrew Symonds ,not out ,85,46,64,7,3,184.78,/cricketers/andrew-symonds-7702,australia vs new-zealand
Adam Voges ,c Taylor b Patel,26,20,25,3,0,130,/cricketers/adam-voges-8119,australia vs new-zealand
Luke Pomersbach ,c Taylor b Gillespie,15,7,16,1,1,214.28,/cricketers/luke-pomersbach-232284,australia vs new-zealand
Lou Vincent ,c †Gilchrist b Lee,0,1,2,0,0,0,/cricketers/lou-vincent-38714,australia vs new-zealand
Brendon McCullum †,c †Gilchrist b Lee,13,15,23,0,1,86.66,/cricketers/brendon-mccullum-37737,australia vs new-zealand
Jamie How ,c †Gilchrist b Tait,4,18,34,0,0,22.22,/cricketers/jamie-how-37265,australia vs new-zealand
Scott Styris ,c Bracken b Johnson,18,15,34,4,0,120,/cricketers/scott-styris-38407,australia vs new-zealand
Ross Taylor , b Tait,0,2,3,0,0,0,/cricketers/ross-taylor-38699,australia vs new-zealand
Mathew Sinclair ,c †Gilchrist b Johnson,0,4,6,0,0,0,/cricketers/mathew-sinclair-38393,australia vs new-zealand
Jacob Oram ,not out ,66,31,56,5,6,212.9,/cricketers/jacob-oram-38062,australia vs new-zealand
Daniel Vettori (c), b Noffke,3,4,9,0,0,75,/cricketers/daniel-vettori-38710,australia vs new-zealand
Kyle Mills ,c Johnson b Noffke,4,8,8,1,0,50,/cricketers/kyle-mills-37740,australia vs new-zealand
Lou Vincent ,lbw b Botha,15,20,41,1,0,75,/cricketers/lou-vincent-38714,south-africa vs new-zealand
Brendon McCullum †,c Duminy b Pollock,9,8,9,0,1,112.5,/cricketers/brendon-mccullum-37737,south-africa vs new-zealand
Jamie How ,c Duminy b Pollock,14,11,11,1,1,127.27,/cricketers/jamie-how-37265,south-africa vs new-zealand
Ross Taylor ,c Kallis b Morkel,7,8,9,0,1,87.5,/cricketers/ross-taylor-38699,south-africa vs new-zealand
Scott Styris ,c Smith b Steyn,30,27,39,3,0,111.11,/cricketers/scott-styris-38407,south-africa vs new-zealand
Gareth Hopkins ,c de Villiers b Morkel,6,10,11,0,0,60,/cricketers/gareth-hopkins-37248,south-africa vs new-zealand
Daniel Vettori (c),c Morkel b Pollock,2,7,9,0,0,28.57,/cricketers/daniel-vettori-38710,south-africa vs new-zealand
Graeme Smith (c),c †McCullum b Mills,7,16,21,1,0,43.75,/cricketers/graeme-smith-47270,south-africa vs new-zealand
Jacques Kallis ,c Mills b Gillespie,4,5,6,1,0,80,/cricketers/jacques-kallis-45789,south-africa vs new-zealand
Jean-Paul Duminy ,st †McCullum b Vettori,33,19,34,3,2,173.68,/cricketers/jean-paul-duminy-44932,south-africa vs new-zealand
AB de Villiers ,not out ,52,45,70,4,1,115.55,/cricketers/ab-de-villiers-44936,south-africa vs new-zealand
Mark Boucher †,lbw b Patel,7,10,16,0,0,70,/cricketers/mark-boucher-44111,south-africa vs new-zealand
Shaun Pollock ,c Taylor b Patel,6,5,9,0,0,120,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Albie Morkel ,c Vettori b Styris,9,11,12,0,1,81.81,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Adam Gilchrist †, b Singh,12,5,3,3,0,240,/cricketers/adam-gilchrist-5390,india vs australia
Matthew Hayden , b Harbhajan Singh,17,19,34,1,2,89.47,/cricketers/matthew-hayden-5616,india vs australia
Ricky Ponting (c), b Pathan,76,53,79,13,0,143.39,/cricketers/ricky-ponting-7133,india vs australia
Andrew Symonds ,run out (Harbhajan Singh/Yuvraj Singh),20,18,23,1,0,111.11,/cricketers/andrew-symonds-7702,india vs australia
Brad Hodge , b Pathan,2,6,7,0,0,33.33,/cricketers/brad-hodge-5674,india vs australia
Gautam Gambhir ,c Ponting b Hilfenhaus,63,52,74,6,1,121.15,/cricketers/gautam-gambhir-28763,india vs australia
Virender Sehwag ,c †Gilchrist b Lee,5,4,12,1,0,125,/cricketers/virender-sehwag-35263,india vs australia
Robin Uthappa ,c †Gilchrist b Clarke,35,26,38,6,0,134.61,/cricketers/robin-uthappa-35582,india vs australia
Gautam Gambhir ,c Mohammad Asif b Umar Gul,75,54,76,8,2,138.88,/cricketers/gautam-gambhir-28763,india vs pakistan
Yusuf Pathan ,c Shoaib Malik b Mohammad Asif,15,8,12,1,1,187.5,/cricketers/yusuf-pathan-32498,india vs pakistan
Robin Uthappa ,c Shahid Afridi b Sohail Tanvir,8,11,13,1,0,72.72,/cricketers/robin-uthappa-35582,india vs pakistan
Yuvraj Singh ,c & b Umar Gul,14,19,28,1,0,73.68,/cricketers/yuvraj-singh-36084,india vs pakistan
MS Dhoni (c)†, b Umar Gul,6,10,9,0,0,60,/cricketers/ms-dhoni-28081,india vs pakistan
Mohammad Hafeez ,c Uthappa b Singh,1,3,3,0,0,33.33,/cricketers/mohammad-hafeez-41434,india vs pakistan
Imran Nazir ,run out (Uthappa),33,14,28,4,2,235.71,/cricketers/imran-nazir-40563,india vs pakistan
Kamran Akmal †, b Singh,0,3,8,0,0,0,/cricketers/kamran-akmal-41028,india vs pakistan
Younis Khan ,c YK Pathan b Joginder Sharma,24,24,27,4,0,100,/cricketers/younis-khan-43652,india vs pakistan
Shoaib Malik (c),c Sharma b IK Pathan,8,17,25,0,0,47.05,/cricketers/shoaib-malik-42657,india vs pakistan
Misbah-ul-Haq ,c Sreesanth b Joginder Sharma,43,38,51,0,4,113.15,/cricketers/misbah-ul-haq-41378,india vs pakistan
Shahid Afridi ,c Sreesanth b IK Pathan,0,1,2,0,0,0,/cricketers/shahid-afridi-42639,india vs pakistan
Yasir Arafat , b IK Pathan,15,11,16,2,0,136.36,/cricketers/yasir-arafat-43654,india vs pakistan
Sohail Tanvir , b Sreesanth,12,4,9,0,2,300,/cricketers/sohail-tanvir-43265,india vs pakistan
Gautam Gambhir ,c Hodge b Johnson,24,25,37,4,0,96,/cricketers/gautam-gambhir-28763,australia vs india
Virender Sehwag ,c †Gilchrist b Johnson,9,13,25,1,0,69.23,/cricketers/virender-sehwag-35263,australia vs india
