BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Riley Hekure,0.4,0,5,0,7.5,0,0,/cricketers/riley-hekure-646193,namibia vs papua
Mark Adair,4,0,31,0,7.75,0,0,/cricketers/mark-adair-526441,ireland vs netherlands
Boyd Rankin,4,0,17,1,4.25,1,0,/cricketers/boyd-rankin-24599,ireland vs netherlands
Craig Young,4,0,39,2,9.75,1,0,/cricketers/craig-young-364343,ireland vs netherlands
Gareth Delany,4,0,26,1,6.5,1,0,/cricketers/gareth-delany-1099379,ireland vs netherlands
Stuart Thompson,2,0,22,0,11,3,0,/cricketers/stuart-thompson-414821,ireland vs netherlands
George Dockrell,2,0,19,0,9.5,1,0,/cricketers/george-dockrell-348034,ireland vs netherlands
Fred Klaassen,4,0,32,2,8,1,1,/cricketers/fred-klaassen-1104703,ireland vs netherlands
Paul van Meekeren,4,0,36,1,9,3,0,/cricketers/paul-van-meekeren-348109,ireland vs netherlands
Timm van der Gugten,1,0,11,0,11,0,0,/cricketers/timm-van-der-gugten-333782,ireland vs netherlands
Brandon Glover,3,0,22,1,7.33,0,1,/cricketers/brandon-glover-595419,ireland vs netherlands
Roelof van der Merwe,4,0,19,2,4.75,0,0,/cricketers/roelof-van-der-merwe-47850,ireland vs netherlands
Pieter Seelaar,4,0,17,3,4.25,0,0,/cricketers/pieter-seelaar-208657,ireland vs netherlands
Mitchell Starc,4,0,32,2,8,1,0,/cricketers/mitchell-starc-311592,australia vs sri-lanka
Kane Richardson,4,0,25,2,6.25,0,0,/cricketers/kane-richardson-272262,australia vs sri-lanka
Pat Cummins,4,0,23,2,5.75,0,0,/cricketers/pat-cummins-489889,australia vs sri-lanka
Ashton Agar,4,0,24,0,6,0,0,/cricketers/ashton-agar-505120,australia vs sri-lanka
Adam Zampa,4,0,30,0,7.5,0,0,/cricketers/adam-zampa-379504,australia vs sri-lanka
Lasith Malinga,4,0,22,1,5.5,1,0,/cricketers/lasith-malinga-49758,australia vs sri-lanka
Lahiru Kumara,4,0,49,1,12.25,3,0,/cricketers/lahiru-kumara-784375,australia vs sri-lanka
Nuwan Pradeep,3.4,0,20,1,5.45,2,0,/cricketers/nuwan-pradeep-324358,australia vs sri-lanka
Shehan Jayasuriya,2,0,24,0,12,0,0,/cricketers/shehan-jayasuriya-422965,australia vs sri-lanka
Lakshan Sandakan,4,0,25,0,6.25,0,0,/cricketers/lakshan-sandakan-429738,australia vs sri-lanka
Sam Curran,4,0,33,1,8.25,0,0,/cricketers/sam-curran-662973,new-zealand vs england
Tom Curran,4,1,25,0,6.25,1,0,/cricketers/tom-curran-550235,new-zealand vs england
Chris Jordan,4,0,28,2,7,0,0,/cricketers/chris-jordan-288992,new-zealand vs england
Adil Rashid,4,0,31,1,7.75,0,0,/cricketers/adil-rashid-244497,new-zealand vs england
Pat Brown,4,0,33,1,8.25,0,0,/cricketers/pat-brown-891517,new-zealand vs england
Tim Southee,3.3,0,30,0,8.57,1,0,/cricketers/tim-southee-232364,new-zealand vs england
Lockie Ferguson,4,0,28,0,7,0,0,/cricketers/lockie-ferguson-493773,new-zealand vs england
Scott Kuggeleijn,3,0,35,0,11.66,0,0,/cricketers/scott-kuggeleijn-539548,new-zealand vs england
Mitchell Santner,4,0,23,3,5.75,0,0,/cricketers/mitchell-santner-502714,new-zealand vs england
Ish Sodhi,4,0,38,0,9.5,0,0,/cricketers/ish-sodhi-559066,new-zealand vs england
Josh Davey,4,0,41,0,10.25,0,0,/cricketers/josh-davey-407265,oman vs scotland
Adrian Neill,4,0,28,1,7,0,0,/cricketers/adrian-neill-1148466,oman vs scotland
Alasdair Evans,4,0,36,3,9,3,0,/cricketers/alasdair-evans-399259,oman vs scotland
Mark Watt,4,0,22,1,5.5,1,0,/cricketers/mark-watt-659081,oman vs scotland
Calum MacLeod,2,0,17,1,8.5,0,0,/cricketers/calum-macleod-232435,oman vs scotland
Richie Berrington,2,0,15,0,7.5,0,0,/cricketers/richie-berrington-25490,oman vs scotland
Bilal Khan,4,0,38,2,9.5,0,0,/cricketers/bilal-khan-937953,oman vs scotland
Fayyaz Butt,3,0,24,0,8,1,1,/cricketers/fayyaz-butt-436749,oman vs scotland
Aqib Ilyas,2,0,14,1,7,1,0,/cricketers/aqib-ilyas-940593,oman vs scotland
Mohammad Nadeem,4,0,32,1,8,0,0,/cricketers/mohammad-nadeem-41984,oman vs scotland
Khawar Ali,3,0,32,1,10.66,1,0,/cricketers/khawar-ali-585081,oman vs scotland
Jay Odedra,1,0,10,0,10,0,0,/cricketers/jay-odedra-1136106,oman vs scotland
Mehran Khan,2,0,17,0,8.5,0,1,/cricketers/mehran-khan-888565,oman vs scotland
Aizaz Khan,4,0,30,1,7.5,0,0,/cricketers/aizaz-khan-401540,hong-kong vs oman
Kyle Christie,3,0,24,0,8,1,0,/cricketers/kyle-christie-1063728,hong-kong vs oman
Nasrulla Rana,3,0,26,2,8.66,2,0,/cricketers/nasrulla-rana-1058924,hong-kong vs oman
Haroon Arshad,1,0,8,0,8,0,0,/cricketers/haroon-arshad-1068983,hong-kong vs oman
Ehsan Khan,4,0,15,1,3.75,1,0,/cricketers/ehsan-khan-40082,hong-kong vs oman
Mohammad Ghazanfar,3,0,15,1,5,0,0,/cricketers/mohammad-ghazanfar-633428,hong-kong vs oman
Kinchit Shah,2,0,11,0,5.5,0,0,/cricketers/kinchit-shah-401537,hong-kong vs oman
Bilal Khan,4,0,23,4,5.75,2,0,/cricketers/bilal-khan-937953,hong-kong vs oman
Fayyaz Butt,4,0,17,2,4.25,0,0,/cricketers/fayyaz-butt-436749,hong-kong vs oman
Mohammad Nadeem,2,0,14,1,7,1,0,/cricketers/mohammad-nadeem-41984,hong-kong vs oman
Zeeshan Maqsood,4,0,22,0,5.5,0,0,/cricketers/zeeshan-maqsood-585083,hong-kong vs oman
Mehran Khan,1,0,8,0,8,1,0,/cricketers/mehran-khan-888565,hong-kong vs oman
Khawar Ali,4,0,23,2,5.75,1,0,/cricketers/khawar-ali-585081,hong-kong vs oman
Aamir Kaleem,1,0,9,0,9,0,0,/cricketers/aamir-kaleem-455463,hong-kong vs oman
Sultan Ahmed,2,0,19,0,9.5,0,0,/cricketers/sultan-ahmed-873769,united-arab-emirates vs scotland
Junaid Siddique,4,0,36,1,9,1,0,/cricketers/junaid-siddique-1203754,united-arab-emirates vs scotland
Rohan Mustafa,4,0,38,2,9.5,0,0,/cricketers/rohan-mustafa-307808,united-arab-emirates vs scotland
Ahmed Raza,3,0,27,1,9,0,0,/cricketers/ahmed-raza-245490,united-arab-emirates vs scotland
Waheed Ahmed,3,0,37,0,12.33,0,0,/cricketers/waheed-ahmed-950309,united-arab-emirates vs scotland
Zahoor Khan,4,0,37,1,9.25,1,0,/cricketers/zahoor-khan-384525,united-arab-emirates vs scotland
Safyaan Sharif,3.3,0,21,3,6,1,0,/cricketers/safyaan-sharif-414970,united-arab-emirates vs scotland
Alasdair Evans,4,1,18,1,4.5,2,0,/cricketers/alasdair-evans-399259,united-arab-emirates vs scotland
Josh Davey,3,0,23,1,7.66,0,0,/cricketers/josh-davey-407265,united-arab-emirates vs scotland
Mark Watt,4,0,21,3,5.25,0,1,/cricketers/mark-watt-659081,united-arab-emirates vs scotland
Calum MacLeod,3,0,18,1,6,0,0,/cricketers/calum-macleod-232435,united-arab-emirates vs scotland
Richie Berrington,1,0,4,1,4,0,0,/cricketers/richie-berrington-25490,united-arab-emirates vs scotland
Kane Richardson,3,0,17,0,5.66,1,0,/cricketers/kane-richardson-272262,australia vs sri-lanka
Billy Stanlake,4,0,23,2,5.75,1,0,/cricketers/billy-stanlake-533042,australia vs sri-lanka
Pat Cummins,4,0,29,2,7.25,1,0,/cricketers/pat-cummins-489889,australia vs sri-lanka
Ashton Agar,4,0,27,2,6.75,0,0,/cricketers/ashton-agar-505120,australia vs sri-lanka
Adam Zampa,4,0,20,2,5,0,0,/cricketers/adam-zampa-379504,australia vs sri-lanka
Lasith Malinga,3,0,23,1,7.66,0,0,/cricketers/lasith-malinga-49758,australia vs sri-lanka
Nuwan Pradeep,3,0,26,0,8.66,1,0,/cricketers/nuwan-pradeep-324358,australia vs sri-lanka
Wanindu Hasaranga,1,0,18,0,18,1,0,/cricketers/wanindu-hasaranga-784379,australia vs sri-lanka
Isuru Udana,2,0,16,0,8,1,0,/cricketers/isuru-udana-328026,australia vs sri-lanka
Lakshan Sandakan,4,0,33,0,8.25,0,0,/cricketers/lakshan-sandakan-429738,australia vs sri-lanka
Bilal Khan,4,1,19,4,4.75,0,0,/cricketers/bilal-khan-937953,namibia vs oman
Fayyaz Butt,4,0,30,1,7.5,0,0,/cricketers/fayyaz-butt-436749,namibia vs oman
Mohammad Nadeem,4,0,32,1,8,0,0,/cricketers/mohammad-nadeem-41984,namibia vs oman
Aamir Kaleem,4,0,35,0,8.75,0,0,/cricketers/aamir-kaleem-455463,namibia vs oman
Khawar Ali,3,0,35,0,11.66,0,0,/cricketers/khawar-ali-585081,namibia vs oman
Aqib Ilyas,1,0,9,1,9,0,0,/cricketers/aqib-ilyas-940593,namibia vs oman
Jan Frylinck,4,0,23,1,5.75,1,0,/cricketers/jan-frylinck-482478,namibia vs oman
Christi Viljoen,2,0,30,0,15,0,0,/cricketers/christi-viljoen-387845,namibia vs oman
JJ Smit,3.1,0,12,2,3.78,0,0,/cricketers/jj-smit-553821,namibia vs oman
Craig Williams,2,0,8,1,4,1,0,/cricketers/craig-williams-316102,namibia vs oman
Bernard Scholtz,4,0,14,3,3.5,0,0,/cricketers/bernard-scholtz-330223,namibia vs oman
Gerhard Erasmus,4,0,19,3,4.75,3,0,/cricketers/gerhard-erasmus-519070,namibia vs oman
Fred Klaassen,3,0,18,1,6,0,0,/cricketers/fred-klaassen-1104703,united-arab-emirates vs netherlands
Paul van Meekeren,4,0,13,2,3.25,0,0,/cricketers/paul-van-meekeren-348109,united-arab-emirates vs netherlands
Brandon Glover,4,0,12,4,3,1,0,/cricketers/brandon-glover-595419,united-arab-emirates vs netherlands
Pieter Seelaar,2,0,10,0,5,0,0,/cricketers/pieter-seelaar-208657,united-arab-emirates vs netherlands
Timm van der Gugten,3,0,10,2,3.33,1,0,/cricketers/timm-van-der-gugten-333782,united-arab-emirates vs netherlands
Roelof van der Merwe,3,0,12,0,4,0,0,/cricketers/roelof-van-der-merwe-47850,united-arab-emirates vs netherlands
Colin Ackermann,1,0,2,0,2,0,0,/cricketers/colin-ackermann-379774,united-arab-emirates vs netherlands
Junaid Siddique,3,0,18,0,6,0,0,/cricketers/junaid-siddique-1203754,united-arab-emirates vs netherlands
Rohan Mustafa,3,0,19,1,6.33,0,0,/cricketers/rohan-mustafa-307808,united-arab-emirates vs netherlands
Ahmed Raza,2,0,10,0,5,0,0,/cricketers/ahmed-raza-245490,united-arab-emirates vs netherlands
Zahoor Khan,2,0,12,1,6,2,0,/cricketers/zahoor-khan-384525,united-arab-emirates vs netherlands
Sultan Ahmed,3,0,8,0,2.66,0,0,/cricketers/sultan-ahmed-873769,united-arab-emirates vs netherlands
Waheed Ahmed,2,0,9,0,4.5,0,0,/cricketers/waheed-ahmed-950309,united-arab-emirates vs netherlands
Zawar Farid,0.1,0,1,0,6,0,0,/cricketers/zawar-farid-1196500,united-arab-emirates vs netherlands
Romesh Eranga,4,0,34,1,8.5,4,0,/cricketers/romesh-eranga-320520,united-arab-emirates vs canada
Junaid Siddiqui,4,0,24,1,6,1,0,/cricketers/junaid-siddiqui-494847,united-arab-emirates vs canada
Dilon Heyliger,4,0,47,0,11.75,0,0,/cricketers/dilon-heyliger-1061467,united-arab-emirates vs canada
Saad Bin Zafar,4,1,21,3,5.25,0,0,/cricketers/saad-bin-zafar-359746,united-arab-emirates vs canada
Nikhil Dutta,4,0,27,0,6.75,0,0,/cricketers/nikhil-dutta-348135,united-arab-emirates vs canada
Sultan Ahmed,4,0,24,0,6,0,0,/cricketers/sultan-ahmed-873769,united-arab-emirates vs canada
Junaid Siddique,2,0,18,1,9,0,0,/cricketers/junaid-siddique-1203754,united-arab-emirates vs canada
Rohan Mustafa,4,0,30,1,7.5,0,0,/cricketers/rohan-mustafa-307808,united-arab-emirates vs canada
Waheed Ahmed,4,0,21,3,5.25,0,0,/cricketers/waheed-ahmed-950309,united-arab-emirates vs canada
Zahoor Khan,4,0,28,0,7,1,0,/cricketers/zahoor-khan-384525,united-arab-emirates vs canada
Ahmed Raza,2,0,12,0,6,1,0,/cricketers/ahmed-raza-245490,united-arab-emirates vs canada
Atif Mehmood,1,0,11,0,11,2,0,/cricketers/atif-mehmood-1046645,spain vs gibraltar
Raja Adeel Iqbal,4,0,15,2,3.75,3,1,/cricketers/raja-adeel-iqbal-937669,spain vs gibraltar
Ravi Panchal,2,0,10,1,5,1,0,/cricketers/ravi-panchal-469191,spain vs gibraltar
Faran Afzal,4,0,14,0,3.5,1,0,/cricketers/faran-afzal-1046635,spain vs gibraltar
Jack Perman,4,0,18,2,4.5,3,0,/cricketers/jack-perman-1153793,spain vs gibraltar
Yasir Ali,3,0,11,2,3.66,0,0,/cricketers/yasir-ali-1156622,spain vs gibraltar
Tom Vine,1,0,11,0,11,0,0,/cricketers/tom-vine-469188,spain vs gibraltar
Tauqeer Hussain,0.5,0,0,1,0,0,0,/cricketers/tauqeer-hussain-43365,spain vs gibraltar
Avinash Pai,3,0,13,1,4.33,2,0,/cricketers/avinash-pai-1046619,spain vs gibraltar
Matthew Hunter,2,0,8,1,4,1,0,/cricketers/matthew-hunter-469049,spain vs gibraltar
Edmund Packard,2,0,21,0,10.5,0,0,/cricketers/edmund-packard-1204626,spain vs gibraltar
James Fitzgerald,2,0,22,0,11,3,0,/cricketers/james-fitzgerald-1156724,spain vs gibraltar
Nikhil Advani,3,0,12,1,4,0,0,/cricketers/nikhil-advani-1204628,spain vs gibraltar
Mark Garratt,2.5,0,12,1,4.23,1,0,/cricketers/mark-garratt-1156440,spain vs gibraltar
Adam Orfila,1,0,7,0,7,0,1,/cricketers/adam-orfila-1046617,spain vs gibraltar
Bilal Khan,3,0,18,1,6,0,0,/cricketers/bilal-khan-937953,jersey vs oman
Kaleemullah,3,0,28,0,9.33,2,0,/cricketers/kaleemullah-1077307,jersey vs oman
Aamir Kaleem,2,0,17,0,8.5,0,0,/cricketers/aamir-kaleem-455463,jersey vs oman
Mohammad Nadeem,4,0,23,4,5.75,0,0,/cricketers/mohammad-nadeem-41984,jersey vs oman
Zeeshan Maqsood,4,0,29,1,7.25,0,0,/cricketers/zeeshan-maqsood-585083,jersey vs oman
Khawar Ali,4,0,22,1,5.5,1,0,/cricketers/khawar-ali-585081,jersey vs oman
Charles Perchard,4,0,20,0,5,0,0,/cricketers/charles-perchard-414969,jersey vs oman
Dominic Blampied,4,0,27,3,6.75,0,0,/cricketers/dominic-blampied-470893,jersey vs oman
Elliot Miles,4,0,22,3,5.5,0,0,/cricketers/elliot-miles-526468,jersey vs oman
Nick Greenwood,1,0,10,0,10,0,0,/cricketers/nick-greenwood-1181708,jersey vs oman
Benjamin Ward,4,0,28,0,7,0,0,/cricketers/benjamin-ward-1112212,jersey vs oman
Ben Stevens,1,0,5,0,5,0,0,/cricketers/ben-stevens-370034,jersey vs oman
Anthony Hawkins-Kay,2,0,14,2,7,0,0,/cricketers/anthony-hawkins-kay-370033,jersey vs oman
Paul van Meekeren,4,0,27,1,6.75,1,0,/cricketers/paul-van-meekeren-348109,netherlands vs scotland
Colin Ackermann,2,0,22,1,11,0,0,/cricketers/colin-ackermann-379774,netherlands vs scotland
Timm van der Gugten,3,0,16,1,5.33,0,0,/cricketers/timm-van-der-gugten-333782,netherlands vs scotland
Brandon Glover,4,0,28,2,7,2,0,/cricketers/brandon-glover-595419,netherlands vs scotland
Roelof van der Merwe,4,0,23,1,5.75,0,0,/cricketers/roelof-van-der-merwe-47850,netherlands vs scotland
Pieter Seelaar,3,0,12,2,4,0,0,/cricketers/pieter-seelaar-208657,netherlands vs scotland
Safyaan Sharif,3,0,21,1,7,1,0,/cricketers/safyaan-sharif-414970,netherlands vs scotland
Alasdair Evans,4,0,34,1,8.5,0,0,/cricketers/alasdair-evans-399259,netherlands vs scotland
Josh Davey,3,0,21,1,7,1,0,/cricketers/josh-davey-407265,netherlands vs scotland
Richie Berrington,2,0,24,0,12,0,0,/cricketers/richie-berrington-25490,netherlands vs scotland
Mark Watt,4,0,18,3,4.5,0,0,/cricketers/mark-watt-659081,netherlands vs scotland
Calum MacLeod,1,0,7,0,7,0,0,/cricketers/calum-macleod-232435,netherlands vs scotland
Najjam Shahzad,4,0,16,2,4,2,0,/cricketers/najjam-shahzad-1204631,gibraltar vs portugal
Fakhrul Mohon,4,0,23,0,5.75,1,0,/cricketers/fakhrul-mohon-1204636,gibraltar vs portugal
Ali Naqi,4,0,20,2,5,3,0,/cricketers/ali-naqi-1204642,gibraltar vs portugal
Tariq Aziz,4,0,10,0,2.5,0,0,/cricketers/tariq-aziz-43317,gibraltar vs portugal
Paolo Buccimazza,2,0,24,0,12,3,1,/cricketers/paolo-buccimazza-520282,gibraltar vs portugal
Zohaib Sarwar,2,0,8,1,4,2,0,/cricketers/zohaib-sarwar-1156631,gibraltar vs portugal
Mark Bacarese,4,0,19,1,4.75,2,0,/cricketers/mark-bacarese-403318,gibraltar vs portugal
Matthew Hunter,4,0,16,1,4,2,0,/cricketers/matthew-hunter-469049,gibraltar vs portugal
Edmund Packard,4,0,24,1,6,0,0,/cricketers/edmund-packard-1204626,gibraltar vs portugal
Avinash Pai,4,0,14,3,3.5,1,0,/cricketers/avinash-pai-1046619,gibraltar vs portugal
Kenroy Nestor,3.2,0,36,0,10.8,0,0,/cricketers/kenroy-nestor-1204627,gibraltar vs portugal
Lucas Oluoch,4,0,15,2,3.75,1,0,/cricketers/lucas-oluoch-440162,kenya vs papua
Emmanuel Bundi,4,0,18,4,4.5,1,0,/cricketers/emmanuel-bundi-475816,kenya vs papua
Sachin Bhudia,3,0,24,0,8,2,0,/cricketers/sachin-bhudia-1107656,kenya vs papua
Shem Ngoche,3.3,0,26,1,7.42,1,0,/cricketers/shem-ngoche-308515,kenya vs papua
Collins Obuya,3,0,17,2,5.66,3,0,/cricketers/collins-obuya-24752,kenya vs papua
Jasraj Kundi,1,0,6,0,6,0,0,/cricketers/jasraj-kundi-1107663,kenya vs papua
Pushpak Kerai,1,0,11,0,11,0,0,/cricketers/pushpak-kerai-1086099,kenya vs papua
Norman Vanua,3,0,19,2,6.33,1,0,/cricketers/norman-vanua-524253,kenya vs papua
Nosaina Pokana,3.4,0,21,3,5.72,4,0,/cricketers/nosaina-pokana-646181,kenya vs papua
Damien Ravu,4,0,14,2,3.5,0,0,/cricketers/damien-ravu-1122557,kenya vs papua
Charles Amini,4,0,11,0,2.75,0,0,/cricketers/charles-amini-332980,kenya vs papua
Assad Vala,4,0,7,3,1.75,0,0,/cricketers/assad-vala-25056,kenya vs papua
Kyle Christie,4,0,23,1,5.75,0,0,/cricketers/kyle-christie-1063728,hong-kong vs nigeria
Aizaz Khan,2,0,5,2,2.5,0,0,/cricketers/aizaz-khan-401540,hong-kong vs nigeria
Nasrulla Rana,2,0,10,0,5,1,1,/cricketers/nasrulla-rana-1058924,hong-kong vs nigeria
Haroon Arshad,1,0,11,0,11,0,0,/cricketers/haroon-arshad-1068983,hong-kong vs nigeria
Mohammad Ghazanfar,4,0,11,2,2.75,0,0,/cricketers/mohammad-ghazanfar-633428,hong-kong vs nigeria
Ehsan Khan,4,0,8,1,2,0,0,/cricketers/ehsan-khan-40082,hong-kong vs nigeria
Waqas Barkat,3,0,13,2,4.33,0,0,/cricketers/waqas-barkat-350632,hong-kong vs nigeria
Vincent Adewoye,1,0,10,0,10,0,0,/cricketers/vincent-adewoye-1143136,hong-kong vs nigeria
Chima Akachukwu,1,0,15,1,15,0,0,/cricketers/chima-akachukwu-1013211,hong-kong vs nigeria
Isaac Okpe,2,0,29,1,14.5,0,0,/cricketers/isaac-okpe-637526,hong-kong vs nigeria
Sylvester Okpe,1,0,11,1,11,0,0,/cricketers/sylvester-okpe-1143139,hong-kong vs nigeria
Daniel Ajekun,1.1,0,5,1,4.28,0,0,/cricketers/daniel-ajekun-637529,hong-kong vs nigeria
Daniel Gim,1,0,11,0,11,0,0,/cricketers/daniel-gim-637523,hong-kong vs nigeria
Lasith Malinga,4,0,37,0,9.25,2,0,/cricketers/lasith-malinga-49758,australia vs sri-lanka
Kasun Rajitha,4,0,75,0,18.75,0,1,/cricketers/kasun-rajitha-499594,australia vs sri-lanka
Nuwan Pradeep,4,0,28,0,7,0,0,/cricketers/nuwan-pradeep-324358,australia vs sri-lanka
Lakshan Sandakan,4,0,41,1,10.25,1,0,/cricketers/lakshan-sandakan-429738,australia vs sri-lanka
Wanindu Hasaranga,3,0,42,0,14,0,0,/cricketers/wanindu-hasaranga-784379,australia vs sri-lanka
Dasun Shanaka,1,0,10,1,10,1,0,/cricketers/dasun-shanaka-437316,australia vs sri-lanka
Mitchell Starc,4,0,18,2,4.5,0,0,/cricketers/mitchell-starc-311592,australia vs sri-lanka
Kane Richardson,4,0,21,0,5.25,1,1,/cricketers/kane-richardson-272262,australia vs sri-lanka
Pat Cummins,4,0,27,2,6.75,0,0,/cricketers/pat-cummins-489889,australia vs sri-lanka
Adam Zampa,4,0,14,3,3.5,0,0,/cricketers/adam-zampa-379504,australia vs sri-lanka
Ashton Agar,4,0,13,1,3.25,0,0,/cricketers/ashton-agar-505120,australia vs sri-lanka
Janak Prakash,4,0,37,2,9.25,2,1,/cricketers/janak-prakash-973799,namibia vs singapore
Vinoth Baskaran,3,0,27,0,9,1,0,/cricketers/vinoth-baskaran-1195245,namibia vs singapore
Amjad Mahboob,3,0,29,3,9.66,0,0,/cricketers/amjad-mahboob-554068,namibia vs singapore
Navin Param,2,0,18,0,9,0,0,/cricketers/navin-param-452540,namibia vs singapore
Sidhant Singh,4,0,46,2,11.5,0,0,/cricketers/sidhant-singh-1048901,namibia vs singapore
Tim David,3,0,18,1,6,0,0,/cricketers/tim-david-892749,namibia vs singapore
Aryaman Sunil,1,0,12,0,12,0,0,/cricketers/aryaman-sunil-1048891,namibia vs singapore
Jan Frylinck,3,0,21,4,7,1,0,/cricketers/jan-frylinck-482478,namibia vs singapore
Christi Viljoen,3.1,0,14,3,4.42,1,0,/cricketers/christi-viljoen-387845,namibia vs singapore
JJ Smit,3,0,22,1,7.33,2,0,/cricketers/jj-smit-553821,namibia vs singapore
Ben Shikongo,1,0,11,0,11,0,1,/cricketers/ben-shikongo-1069820,namibia vs singapore
Craig Williams,3,0,11,1,3.66,0,0,/cricketers/craig-williams-316102,namibia vs singapore
Bernard Scholtz,4,0,25,1,6.25,0,0,/cricketers/bernard-scholtz-330223,namibia vs singapore
Najjam Shahzad,4,0,28,1,7,8,0,/cricketers/najjam-shahzad-1204631,spain vs portugal
Fakhrul Mohon,4,1,21,1,5.25,0,0,/cricketers/fakhrul-mohon-1204636,spain vs portugal
Ali Naqi,2,0,17,0,8.5,2,0,/cricketers/ali-naqi-1204642,spain vs portugal
Tariq Aziz,4,0,20,3,5,4,0,/cricketers/tariq-aziz-43317,spain vs portugal
Paolo Buccimazza,3,0,24,1,8,0,0,/cricketers/paolo-buccimazza-520282,spain vs portugal
Zohaib Sarwar,3,0,26,0,8.66,0,0,/cricketers/zohaib-sarwar-1156631,spain vs portugal
Atif Mehmood,4,0,14,2,3.5,0,0,/cricketers/atif-mehmood-1046645,spain vs portugal
Ravi Panchal,2,0,16,0,8,1,0,/cricketers/ravi-panchal-469191,spain vs portugal
Paul Hennessy,2,1,12,2,6,0,0,/cricketers/paul-hennessy-1156621,spain vs portugal
Tauqeer Hussain,2.4,0,12,2,4.5,0,0,/cricketers/tauqeer-hussain-43365,spain vs portugal
Yasir Ali,1,0,10,0,10,0,0,/cricketers/yasir-ali-1156622,spain vs portugal
Nadim Hussain Naureen,3,1,32,1,10.66,0,0,/cricketers/nadim-hussain-naureen-1153801,spain vs portugal
Zulqarnain Haider,3,0,7,0,2.33,2,0,/cricketers/zulqarnain-haider-1046641,spain vs portugal
Raja Adeel Iqbal,3,0,13,0,4.33,1,0,/cricketers/raja-adeel-iqbal-937669,spain vs gibraltar
Ravi Panchal,3,1,9,0,3,0,0,/cricketers/ravi-panchal-469191,spain vs gibraltar
Tom Vine,2,0,14,1,7,0,0,/cricketers/tom-vine-469188,spain vs gibraltar
Faran Afzal,4,0,18,0,4.5,1,0,/cricketers/faran-afzal-1046635,spain vs gibraltar
Jack Perman,4,0,23,1,5.75,1,0,/cricketers/jack-perman-1153793,spain vs gibraltar
Yasir Ali,3,0,16,2,5.33,2,0,/cricketers/yasir-ali-1156622,spain vs gibraltar
Atif Mehmood,1,0,2,0,2,0,0,/cricketers/atif-mehmood-1046645,spain vs gibraltar
Mark Bacarese,4,0,15,1,3.75,0,0,/cricketers/mark-bacarese-403318,spain vs gibraltar
Matthew Hunter,2,0,17,0,8.5,0,0,/cricketers/matthew-hunter-469049,spain vs gibraltar
Edmund Packard,2,0,8,1,4,1,0,/cricketers/edmund-packard-1204626,spain vs gibraltar
Avinash Pai,4,0,37,0,9.25,0,0,/cricketers/avinash-pai-1046619,spain vs gibraltar
Kenroy Nestor,3,0,18,0,6,0,0,/cricketers/kenroy-nestor-1204627,spain vs gibraltar
George O'Brien,3,0,28,0,9.33,1,0,/cricketers/george-o-brien-247008,bermuda vs netherlands
Kamau Leverock,4,0,43,1,10.75,3,0,/cricketers/kamau-leverock-364148,bermuda vs netherlands
Dion Stovell,3,0,25,0,8.33,0,0,/cricketers/dion-stovell-474648,bermuda vs netherlands
Derrick Brangman,1,0,11,0,11,0,0,/cricketers/derrick-brangman-679553,bermuda vs netherlands
Rodney Trott,4,0,31,1,7.75,1,0,/cricketers/rodney-trott-267454,bermuda vs netherlands
Delray Rawlins,4,0,50,1,12.5,0,0,/cricketers/delray-rawlins-630174,bermuda vs netherlands
Janeiro Tucker,1,0,13,0,13,0,0,/cricketers/janeiro-tucker-23694,bermuda vs netherlands
Fred Klaassen,2,0,11,0,5.5,0,0,/cricketers/fred-klaassen-1104703,bermuda vs netherlands
Paul van Meekeren,4,0,26,3,6.5,0,0,/cricketers/paul-van-meekeren-348109,bermuda vs netherlands
Roelof van der Merwe,4,0,23,2,5.75,0,0,/cricketers/roelof-van-der-merwe-47850,bermuda vs netherlands
Colin Ackermann,2,0,6,1,3,0,0,/cricketers/colin-ackermann-379774,bermuda vs netherlands
Timm van der Gugten,3,0,29,1,9.66,0,0,/cricketers/timm-van-der-gugten-333782,bermuda vs netherlands
Pieter Seelaar,4,1,10,2,2.5,0,0,/cricketers/pieter-seelaar-208657,bermuda vs netherlands
Shane Snater,1,0,8,0,8,0,0,/cricketers/shane-snater-696143,bermuda vs netherlands
Fakhrul Mohon,3,0,25,1,8.33,1,0,/cricketers/fakhrul-mohon-1204636,gibraltar vs portugal
Najjam Shahzad,4,0,18,1,4.5,0,0,/cricketers/najjam-shahzad-1204631,gibraltar vs portugal
Zohaib Sarwar,1,0,10,0,10,1,0,/cricketers/zohaib-sarwar-1156631,gibraltar vs portugal
Imran Khan,2,0,13,0,6.5,1,0,/cricketers/imran-khan-1204641,gibraltar vs portugal
Paolo Buccimazza,4,0,18,2,4.5,1,1,/cricketers/paolo-buccimazza-520282,gibraltar vs portugal
Tariq Aziz,4,0,14,1,3.5,1,0,/cricketers/tariq-aziz-43317,gibraltar vs portugal
Ali Naqi,2,0,14,0,7,1,0,/cricketers/ali-naqi-1204642,gibraltar vs portugal
Mark Bacarese,4,0,17,0,4.25,1,0,/cricketers/mark-bacarese-403318,gibraltar vs portugal
Matthew Hunter,3.3,0,22,2,6.28,5,0,/cricketers/matthew-hunter-469049,gibraltar vs portugal
