BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Johan van der Wath,4,0,18,0,4.5,1,0,/cricketers/johan-van-der-wath-47693,south-africa vs india
Charl Langeveldt,4,0,20,2,5,1,1,/cricketers/charl-langeveldt-45963,south-africa vs india
Roger Telemachus,4,0,28,0,7,1,0,/cricketers/roger-telemachus-47539,south-africa vs india
Tyron Henderson,4,0,31,0,7.75,0,0,/cricketers/tyron-henderson-45434,south-africa vs india
Albie Morkel,2,0,12,0,6,0,0,/cricketers/albie-morkel-46248,south-africa vs india
Robin Peterson,1.5,0,11,1,6,0,0,/cricketers/robin-peterson-46750,south-africa vs india
Gary Brent,4,0,40,2,10,0,0,/cricketers/gary-brent-55269,bangladesh vs zimbabwe
Anthony Ireland,3,0,33,1,11,1,1,/cricketers/anthony-ireland-55522,bangladesh vs zimbabwe
Elton Chigumbura,2,0,22,1,11,3,0,/cricketers/elton-chigumbura-55343,bangladesh vs zimbabwe
Prosper Utseya,4,0,25,3,6.25,0,1,/cricketers/prosper-utseya-55820,bangladesh vs zimbabwe
Sean Williams,4,0,28,1,7,0,0,/cricketers/sean-williams-55870,bangladesh vs zimbabwe
Keith Dabengwa,1,0,1,1,1,1,0,/cricketers/keith-dabengwa-55388,bangladesh vs zimbabwe
Chamu Chibhabha,1.5,0,14,1,7.63,2,0,/cricketers/chamu-chibhabha-55354,bangladesh vs zimbabwe
Mashrafe Mortaza,4,0,29,1,7.25,0,0,/cricketers/mashrafe-mortaza-56007,bangladesh vs zimbabwe
Shahadat Hossain,4,0,22,2,5.5,0,0,/cricketers/shahadat-hossain-56149,bangladesh vs zimbabwe
Mohammad Rafique,4,0,22,1,5.5,0,0,/cricketers/mohammad-rafique-55973,bangladesh vs zimbabwe
Shakib Al Hasan,4,0,31,1,7.75,0,0,/cricketers/shakib-al-hasan-56143,bangladesh vs zimbabwe
Abdur Razzak,4,1,17,3,4.25,3,0,/cricketers/abdur-razzak-56283,bangladesh vs zimbabwe
Shoaib Akhtar,4,0,31,1,7.75,0,0,/cricketers/shoaib-akhtar-42655,england vs pakistan
Mohammad Asif,4,1,21,2,5.25,0,0,/cricketers/mohammad-asif-41411,england vs pakistan
Naved-ul-Hasan,4,0,26,1,6.5,0,1,/cricketers/naved-ul-hasan-42272,england vs pakistan
Shahid Afridi,4,0,28,0,7,2,0,/cricketers/shahid-afridi-42639,england vs pakistan
Abdul Razzaq,4,0,30,3,7.5,0,0,/cricketers/abdul-razzaq-39836,england vs pakistan
Darren Gough,3.5,0,33,0,8.6,1,0,/cricketers/darren-gough-13411,england vs pakistan
Stuart Broad,4,0,35,2,8.75,0,0,/cricketers/stuart-broad-10617,england vs pakistan
Sajid Mahmood,3,0,29,0,9.66,3,1,/cricketers/sajid-mahmood-17944,england vs pakistan
Jamie Dalrymple,2,0,10,1,5,2,0,/cricketers/jamie-dalrymple-11974,england vs pakistan
Michael Yardy,3,0,20,1,6.66,1,0,/cricketers/michael-yardy-23523,england vs pakistan
Paul Collingwood,2,0,19,0,9.5,0,0,/cricketers/paul-collingwood-10772,england vs pakistan
Tim Bresnan,2,0,20,0,10,3,0,/cricketers/tim-bresnan-9310,england vs sri-lanka
Steve Harmison,4,0,29,0,7.25,2,0,/cricketers/steve-harmison-14054,england vs sri-lanka
Sajid Mahmood,4,0,34,1,8.5,0,2,/cricketers/sajid-mahmood-17944,england vs sri-lanka
Liam Plunkett,4,0,37,1,9.25,0,0,/cricketers/liam-plunkett-19264,england vs sri-lanka
Paul Collingwood,4,0,22,4,5.5,1,0,/cricketers/paul-collingwood-10772,england vs sri-lanka
Jamie Dalrymple,2,0,17,1,8.5,0,0,/cricketers/jamie-dalrymple-11974,england vs sri-lanka
Ruchira Perera,3,0,28,0,9.33,2,0,/cricketers/ruchira-perera-49870,england vs sri-lanka
Lasith Malinga,3,0,25,0,8.33,1,0,/cricketers/lasith-malinga-49758,england vs sri-lanka
Dilhara Fernando,4,0,22,1,5.5,0,0,/cricketers/dilhara-fernando-48835,england vs sri-lanka
Farveez Maharoof,4,0,30,0,7.5,1,1,/cricketers/farveez-maharoof-49638,england vs sri-lanka
Sanath Jayasuriya,4,0,32,2,8,0,0,/cricketers/sanath-jayasuriya-49209,england vs sri-lanka
Tillakaratne Dilshan,2,0,18,1,9,0,0,/cricketers/tillakaratne-dilshan-48472,england vs sri-lanka
Brett Lee,3,0,15,0,5,0,0,/cricketers/brett-lee-6278,south-africa vs australia
Nathan Bracken,4,0,44,1,11,2,0,/cricketers/nathan-bracken-4185,south-africa vs australia
Mick Lewis,4,0,31,2,7.75,0,0,/cricketers/mick-lewis-6291,south-africa vs australia
Stuart Clark,4,0,25,0,6.25,0,0,/cricketers/stuart-clark-4582,south-africa vs australia
Shane Watson,3,0,35,1,11.66,1,0,/cricketers/shane-watson-8180,south-africa vs australia
Brad Hogg,2,0,38,0,19,1,0,/cricketers/brad-hogg-5681,south-africa vs australia
Makhaya Ntini,3,0,44,0,14.66,1,0,/cricketers/makhaya-ntini-46592,south-africa vs australia
Andrew Hall,4,0,22,3,5.5,1,0,/cricketers/andrew-hall-45396,south-africa vs australia
Roger Telemachus,4,0,40,1,10,3,0,/cricketers/roger-telemachus-47539,south-africa vs australia
Johan van der Wath,4,0,40,1,10,0,0,/cricketers/johan-van-der-wath-47693,south-africa vs australia
Graeme Smith,2,0,21,0,10.5,0,0,/cricketers/graeme-smith-47270,south-africa vs australia
Robin Peterson,3,0,29,2,9.66,0,0,/cricketers/robin-peterson-46750,south-africa vs australia
James Franklin,4,0,21,0,5.25,1,0,/cricketers/james-franklin-37004,new-zealand vs west-indies
Shane Bond,4,0,15,2,3.75,1,1,/cricketers/shane-bond-36326,new-zealand vs west-indies
Scott Styris,4,0,33,2,8.25,0,0,/cricketers/scott-styris-38407,new-zealand vs west-indies
Chris Cairns,4,0,24,0,6,0,0,/cricketers/chris-cairns-36597,new-zealand vs west-indies
Jeetan Patel,4,0,27,1,6.75,0,0,/cricketers/jeetan-patel-38141,new-zealand vs west-indies
Ian Bradshaw,4,0,22,0,5.5,1,0,/cricketers/ian-bradshaw-51246,new-zealand vs west-indies
Jerome Taylor,3,0,30,2,10,1,0,/cricketers/jerome-taylor-53191,new-zealand vs west-indies
Deighton Butler,3,0,22,0,7.33,1,0,/cricketers/deighton-butler-51292,new-zealand vs west-indies
Dwayne Bravo,2.4,0,16,2,6,2,0,/cricketers/dwayne-bravo-51439,new-zealand vs west-indies
Dwayne Smith,3.2,0,9,2,2.7,0,0,/cricketers/dwayne-smith-53118,new-zealand vs west-indies
Chris Gayle,4,0,22,2,5.5,0,0,/cricketers/chris-gayle-51880,new-zealand vs west-indies
Shaun Pollock,4,0,34,1,8.5,2,0,/cricketers/shaun-pollock-46774,australia vs south-africa
Garnett Kruger,4,0,29,0,7.25,2,0,/cricketers/garnett-kruger-45888,australia vs south-africa
